mode: set
blog/internal/auth/jwt.go:25.13,32.2 3 1
blog/internal/middleware/auth_middleware.go:21.3,21.48 1 1
blog/internal/middleware/auth_middleware.go:21.48,25.4 3 1
blog/internal/middleware/auth_middleware.go:27.3,28.18 2 1
blog/internal/middleware/auth_middleware.go:28.18,32.4 3 1
blog/internal/middleware/auth_middleware.go:34.3,35.17 2 1
blog/internal/middleware/auth_middleware.go:35.17,39.4 3 1
blog/internal/middleware/auth_middleware.go:41.3,44.11 3 1
blog/internal/middleware/duplicate_middleware.go:33.64,34.30 1 0
blog/internal/middleware/duplicate_middleware.go:34.30,41.42 3 0
blog/internal/middleware/duplicate_middleware.go:41.42,45.4 3 0
blog/internal/middleware/duplicate_middleware.go:48.3,48.11 1 0
blog/internal/middleware/error_middleware.go:10.46,11.30 1 0
blog/internal/middleware/error_middleware.go:11.30,14.24 2 0
blog/internal/middleware/error_middleware.go:14.24,22.4 4 0
blog/main.go:7.13,10.2 1 0
blog/internal/dto/user/response.go:22.64,31.2 1 0
blog/internal/dto/user/response.go:40.68,47.2 1 0
blog/cmd/root.go:14.47,16.3 1 0
blog/cmd/root.go:19.16,20.42 1 0
blog/cmd/root.go:20.42,23.3 2 0
blog/cmd/root.go:25.14,27.2 0 0
blog/cmd/server.go:19.47,44.43 13 0
blog/cmd/server.go:44.43,46.4 1 0
blog/cmd/server.go:50.13,56.2 2 0
blog/internal/dto/article/request.go:43.49,44.15 1 0
blog/internal/dto/article/request.go:44.15,46.3 1 0
blog/internal/dto/article/request.go:47.2,47.12 1 0
blog/internal/dto/article/response.go:21.89,22.14 1 0
blog/internal/dto/article/response.go:22.14,24.3 1 0
blog/internal/dto/article/response.go:25.2,34.3 1 0
blog/internal/dto/article/response.go:54.75,60.27 2 0
blog/internal/dto/article/response.go:60.27,63.28 3 0
blog/internal/dto/article/response.go:63.28,65.4 1 0
blog/internal/dto/article/response.go:67.3,73.5 1 0
blog/internal/dto/article/response.go:75.2,76.13 2 0
blog/internal/dto/article/response.go:94.71,100.27 2 0
blog/internal/dto/article/response.go:100.27,110.3 1 0
blog/internal/dto/article/response.go:111.2,111.13 1 0
blog/internal/model/article_status_enum.go:15.33,16.11 1 0
blog/internal/model/article_status_enum.go:17.15,18.21 1 0
blog/internal/model/article_status_enum.go:19.11,20.18 1 0
blog/internal/model/article_status_enum.go:21.13,22.18 1 0
blog/internal/model/article_status_enum.go:23.17,24.21 1 0
blog/internal/model/article_status_enum.go:25.10,26.24 1 0
blog/internal/model/article_status_enum.go:30.41,32.11 2 0
blog/internal/model/article_status_enum.go:33.33,34.13 1 0
blog/internal/model/article_status_enum.go:35.10,36.42 1 0
blog/internal/model/user_role_enum.go:12.31,13.11 1 0
blog/internal/model/user_role_enum.go:14.16,15.18 1 0
blog/internal/model/user_role_enum.go:16.17,17.21 1 0
blog/internal/model/user_role_enum.go:18.10,19.24 1 0
blog/internal/model/user_role_enum.go:23.37,25.11 2 0
blog/internal/model/user_role_enum.go:26.27,27.13 1 0
blog/internal/model/user_role_enum.go:28.10,29.42 1 0
blog/internal/routes/article_route.go:68.90,74.2 2 0
blog/internal/routes/article_route.go:75.91,100.2 9 0
blog/internal/routes/main_route.go:17.55,22.2 3 0
blog/internal/routes/main_route.go:22.2,25.3 2 0
blog/internal/routes/main_route.go:27.2,29.2 3 0
blog/internal/routes/main_route.go:29.2,31.3 1 0
blog/internal/routes/main_route.go:33.2,35.2 3 0
blog/internal/routes/main_route.go:35.2,38.3 1 0
blog/internal/routes/user_route.go:43.123,48.2 3 0
blog/internal/routes/user_route.go:51.82,63.2 4 0
blog/internal/handler/article_handler.go:19.73,21.2 1 1
blog/internal/handler/article_handler.go:24.56,27.47 2 1
blog/internal/handler/article_handler.go:27.47,30.3 2 1
blog/internal/handler/article_handler.go:33.2,45.57 3 1
blog/internal/handler/article_handler.go:45.57,48.3 2 0
blog/internal/handler/article_handler.go:49.2,49.41 1 1
blog/internal/handler/article_handler.go:53.56,56.47 2 1
blog/internal/handler/article_handler.go:56.47,59.3 2 0
blog/internal/handler/article_handler.go:61.2,74.57 3 1
blog/internal/handler/article_handler.go:74.57,77.3 2 0
blog/internal/handler/article_handler.go:79.2,79.41 1 1
blog/internal/handler/article_handler.go:83.56,86.47 2 1
blog/internal/handler/article_handler.go:86.47,89.3 2 0
blog/internal/handler/article_handler.go:91.2,93.69 2 1
blog/internal/handler/article_handler.go:93.69,96.3 2 0
blog/internal/handler/article_handler.go:98.2,98.41 1 1
blog/internal/handler/article_handler.go:102.57,105.47 2 1
blog/internal/handler/article_handler.go:105.47,108.3 2 0
blog/internal/handler/article_handler.go:111.2,113.70 2 1
blog/internal/handler/article_handler.go:113.70,116.3 2 0
blog/internal/handler/article_handler.go:117.2,117.41 1 1
blog/internal/handler/article_handler.go:121.59,124.48 2 1
blog/internal/handler/article_handler.go:124.48,127.3 2 1
blog/internal/handler/article_handler.go:130.2,131.16 2 1
blog/internal/handler/article_handler.go:131.16,134.3 2 0
blog/internal/handler/article_handler.go:136.2,136.39 1 1
blog/internal/handler/article_handler.go:136.39,139.3 2 0
blog/internal/handler/article_handler.go:141.2,142.35 2 1
blog/internal/handler/article_handler.go:146.64,149.48 2 1
blog/internal/handler/article_handler.go:149.48,152.3 2 0
blog/internal/handler/article_handler.go:155.2,159.16 3 1
blog/internal/handler/article_handler.go:159.16,162.3 2 0
blog/internal/handler/article_handler.go:165.2,165.44 1 1
blog/internal/handler/article_handler.go:165.44,168.3 2 1
blog/internal/handler/article_handler.go:170.2,171.35 2 1
blog/internal/handler/article_handler.go:175.59,178.48 2 1
blog/internal/handler/article_handler.go:178.48,181.3 2 0
blog/internal/handler/article_handler.go:183.2,184.16 2 1
blog/internal/handler/article_handler.go:184.16,187.3 2 0
blog/internal/handler/article_handler.go:188.2,189.51 2 1
blog/internal/handler/article_handler.go:193.55,196.48 2 1
blog/internal/handler/article_handler.go:196.48,199.3 2 0
blog/internal/handler/article_handler.go:201.2,204.16 3 1
blog/internal/handler/article_handler.go:204.16,207.3 2 0
blog/internal/handler/article_handler.go:209.2,210.51 2 1
blog/internal/handler/article_handler.go:214.55,218.16 3 1
blog/internal/handler/article_handler.go:218.16,221.3 2 0
blog/internal/handler/article_handler.go:222.2,223.54 2 1
blog/internal/handler/article_handler.go:227.57,231.48 2 1
blog/internal/handler/article_handler.go:231.48,234.3 2 0
blog/internal/handler/article_handler.go:235.2,237.70 2 1
blog/internal/handler/article_handler.go:237.70,240.3 2 0
blog/internal/handler/article_handler.go:242.2,242.41 1 1
blog/internal/handler/article_handler.go:246.55,250.48 2 1
blog/internal/handler/article_handler.go:250.48,253.3 2 0
blog/internal/handler/article_handler.go:254.2,256.68 2 1
blog/internal/handler/article_handler.go:256.68,259.3 2 0
blog/internal/handler/article_handler.go:261.2,261.41 1 1
blog/internal/handler/user_auth_handler.go:20.77,22.2 1 1
blog/internal/handler/user_auth_handler.go:25.52,29.16 3 1
blog/internal/handler/user_auth_handler.go:29.16,33.3 2 1
blog/internal/handler/user_auth_handler.go:36.2,51.16 3 1
blog/internal/handler/user_auth_handler.go:51.16,54.3 2 0
blog/internal/handler/user_auth_handler.go:55.2,55.35 1 1
blog/internal/handler/user_auth_handler.go:59.49,62.47 2 1
blog/internal/handler/user_auth_handler.go:62.47,65.3 2 1
blog/internal/handler/user_auth_handler.go:68.2,69.16 2 1
blog/internal/handler/user_auth_handler.go:69.16,72.3 2 1
blog/internal/handler/user_auth_handler.go:73.2,74.16 2 1
blog/internal/handler/user_auth_handler.go:74.16,77.3 2 0
blog/internal/handler/user_auth_handler.go:79.2,80.16 2 1
blog/internal/handler/user_auth_handler.go:80.16,83.3 2 0
blog/internal/handler/user_auth_handler.go:85.2,88.35 2 1
blog/internal/handler/user_handler.go:16.61,18.2 1 1
blog/internal/handler/user_handler.go:21.52,27.16 3 1
blog/internal/handler/user_handler.go:27.16,31.3 2 0
blog/internal/handler/user_handler.go:32.2,32.66 1 1
blog/internal/handler/user_handler.go:36.56,39.48 2 1
blog/internal/handler/user_handler.go:39.48,42.3 2 1
blog/internal/handler/user_handler.go:45.2,46.16 2 0
blog/internal/handler/user_handler.go:46.16,49.3 2 0
blog/internal/handler/user_handler.go:50.2,50.68 1 0
blog/internal/handler/user_handler.go:54.53,57.47 2 1
blog/internal/handler/user_handler.go:57.47,61.3 2 1
blog/internal/handler/user_handler.go:64.2,68.16 3 1
blog/internal/handler/user_handler.go:68.16,72.3 2 0
blog/internal/handler/user_handler.go:74.2,74.47 1 1
blog/internal/handler/user_handler.go:78.54,81.47 2 1
blog/internal/handler/user_handler.go:81.47,84.3 2 0
blog/internal/handler/user_handler.go:86.2,90.16 3 1
blog/internal/handler/user_handler.go:90.16,93.3 2 0
blog/internal/handler/user_handler.go:95.2,95.41 1 1
blog/internal/handler/user_handler.go:99.53,102.47 2 0
blog/internal/handler/user_handler.go:102.47,105.3 2 0
blog/internal/handler/user_handler.go:107.2,111.16 3 0
blog/internal/handler/user_handler.go:111.16,114.3 2 0
blog/internal/handler/user_handler.go:116.2,116.41 1 0
blog/internal/handler/user_handler.go:121.46,124.2 1 0
blog/internal/repository/article_repository.go:13.48,17.2 1 1
blog/internal/repository/article_repository.go:20.73,23.2 2 1
blog/internal/repository/article_repository.go:26.73,27.57 1 1
blog/internal/repository/article_repository.go:27.57,29.3 1 1
blog/internal/repository/article_repository.go:30.2,30.12 1 1
blog/internal/repository/article_repository.go:34.80,35.46 1 1
blog/internal/repository/article_repository.go:35.46,37.3 1 1
blog/internal/repository/article_repository.go:38.2,38.12 1 1
blog/internal/repository/article_repository.go:42.79,43.46 1 0
blog/internal/repository/article_repository.go:43.46,45.3 1 0
blog/internal/repository/article_repository.go:46.2,46.12 1 0
blog/internal/repository/article_repository.go:50.79,51.37 1 1
blog/internal/repository/article_repository.go:51.37,52.23 1 1
blog/internal/repository/article_repository.go:52.23,54.4 1 1
blog/internal/repository/article_repository.go:56.2,56.59 1 0
blog/internal/repository/article_repository.go:60.100,63.19 2 1
blog/internal/repository/article_repository.go:63.19,64.38 1 0
blog/internal/repository/article_repository.go:64.38,65.32 1 0
blog/internal/repository/article_repository.go:65.32,67.5 1 0
blog/internal/repository/article_repository.go:69.8,70.38 1 1
blog/internal/repository/article_repository.go:70.38,71.64 1 1
blog/internal/repository/article_repository.go:71.64,73.5 1 1
blog/internal/repository/article_repository.go:77.2,77.18 1 1
blog/internal/repository/user_repository.go:15.42,19.2 1 1
blog/internal/repository/user_repository.go:22.61,25.2 2 1
blog/internal/repository/user_repository.go:28.80,30.29 2 1
blog/internal/repository/user_repository.go:30.29,33.3 2 1
blog/internal/repository/user_repository.go:34.2,34.18 1 1
blog/internal/repository/user_repository.go:38.70,39.31 1 1
blog/internal/repository/user_repository.go:39.31,40.20 1 1
blog/internal/repository/user_repository.go:40.20,42.4 1 1
blog/internal/repository/user_repository.go:44.2,44.56 1 1
blog/internal/repository/user_repository.go:48.61,51.2 2 1
blog/internal/service/article_service.go:14.76,16.2 1 1
blog/internal/service/article_service.go:19.70,25.2 5 1
blog/internal/service/article_service.go:28.70,30.16 2 1
blog/internal/service/article_service.go:30.16,32.3 1 0
blog/internal/service/article_service.go:33.2,33.40 1 1
blog/internal/service/article_service.go:33.40,35.3 1 1
blog/internal/service/article_service.go:36.2,36.45 1 1
blog/internal/service/article_service.go:36.45,38.3 1 1
blog/internal/service/article_service.go:39.2,39.38 1 1
blog/internal/service/article_service.go:43.77,45.2 1 1
blog/internal/service/article_service.go:48.76,50.2 1 0
blog/internal/service/article_service.go:53.78,55.16 2 1
blog/internal/service/article_service.go:55.16,57.3 1 1
blog/internal/service/article_service.go:58.2,58.20 1 1
blog/internal/service/article_service.go:58.20,60.3 1 0
blog/internal/service/article_service.go:61.2,61.37 1 1
blog/internal/service/article_service.go:61.37,63.3 1 1
blog/internal/service/article_service.go:64.2,64.21 1 1
blog/internal/service/article_service.go:68.78,70.16 2 1
blog/internal/service/article_service.go:70.16,72.3 1 0
blog/internal/service/article_service.go:73.2,73.37 1 1
blog/internal/service/article_service.go:73.37,75.3 1 0
blog/internal/service/article_service.go:76.2,79.38 4 1
blog/internal/service/article_service.go:83.78,85.16 2 0
blog/internal/service/article_service.go:85.16,87.3 1 0
blog/internal/service/article_service.go:88.2,91.38 4 0
blog/internal/service/article_service.go:95.85,97.2 1 1
blog/internal/service/article_service.go:100.89,102.2 1 0
blog/internal/service/user_auth_service.go:17.75,19.2 1 1
blog/internal/service/user_auth_service.go:22.77,25.16 3 1
blog/internal/service/user_auth_service.go:25.16,28.3 2 0
blog/internal/service/user_auth_service.go:29.2,30.16 2 1
blog/internal/service/user_auth_service.go:30.16,33.3 2 1
blog/internal/service/user_auth_service.go:34.2,36.32 3 1
blog/internal/service/user_auth_service.go:40.80,43.16 3 1
blog/internal/service/user_auth_service.go:43.16,45.3 1 1
blog/internal/service/user_auth_service.go:46.2,47.16 2 1
blog/internal/service/user_auth_service.go:47.16,50.3 2 0
blog/internal/service/user_auth_service.go:51.2,51.9 1 1
blog/internal/service/user_auth_service.go:51.9,54.3 2 1
blog/internal/service/user_auth_service.go:55.2,55.22 1 1
blog/internal/service/user_auth_service.go:55.22,58.3 2 0
blog/internal/service/user_auth_service.go:59.2,59.18 1 1
blog/internal/service/user_auth_service.go:63.95,66.16 2 0
blog/internal/service/user_auth_service.go:66.16,68.3 1 0
blog/internal/service/user_auth_service.go:70.2,73.32 3 0
blog/internal/service/user_service.go:15.67,17.2 1 1
blog/internal/service/user_service.go:20.69,22.2 1 1
blog/internal/service/user_service.go:25.89,28.16 2 1
blog/internal/service/user_service.go:28.16,30.3 1 0
blog/internal/service/user_service.go:32.2,36.32 4 1
blog/internal/service/user_service.go:40.98,43.16 2 0
blog/internal/service/user_service.go:43.16,45.3 1 0
blog/internal/service/user_service.go:47.2,52.16 2 0
blog/internal/service/user_service.go:52.16,54.3 1 0
blog/internal/service/user_service.go:56.2,56.9 1 0
blog/internal/service/user_service.go:56.9,58.3 1 0
blog/internal/service/user_service.go:60.2,61.16 2 0
blog/internal/service/user_service.go:61.16,63.3 1 0
blog/internal/service/user_service.go:65.2,68.32 3 0
blog/internal/service/user_service.go:72.71,75.16 2 0
blog/internal/service/user_service.go:75.16,77.3 1 0
blog/internal/service/user_service.go:79.2,82.32 3 0
